transaction_id,unique_product_id,customer_id,transaction_date,online_order,order_status,list_price,standard_cost,profit
1,P00211222012,2950,2017-02-25,0,Approved,71.49,53.62,17.869999999999997
2,P00321232014,3120,2017-05-21,1,Approved,2091.47,388.92,1702.5499999999997
3,P03731121999,402,2017-10-16,0,Approved,1793.43,248.82,1544.6100000000001
4,P08841221998,3135,2017-08-31,0,Approved,1198.46,381.1,817.36
5,P07851232015,787,2017-10-01,1,Approved,1765.3,709.48,1055.82
6,P02552222006,2339,2017-03-08,1,Approved,1538.99,829.65,709.34
7,P02261221993,1542,2017-04-21,1,Approved,60.34,45.26,15.080000000000005
8,P01561222009,2459,2017-07-15,0,Approved,1292.84,13.44,1279.3999999999999
9,P06711231991,1305,2017-08-10,0,Approved,1071.23,380.74,690.49
10,P01261222004,3262,2017-08-30,1,Approved,1231.15,161.6,1069.5500000000002
11,P00523122011,1986,2017-01-17,0,Approved,574.64,459.71,114.93
12,P06131122015,2783,2017-01-05,1,Approved,71.16,56.93,14.229999999999997
13,P03521121994,1243,2017-02-26,1,Approved,1057.51,154.4,903.11
14,P01641311994,2717,2017-09-10,0,Approved,1661.92,1479.11,182.81000000000017
15,P01251232004,247,2017-06-11,0,Approved,1765.3,709.48,1055.82
16,P00321232003,2961,2017-10-10,0,Approved,2091.47,388.92,1702.5499999999997
17,P07941222004,2426,2017-04-03,0,Approved,1555.58,818.01,737.5699999999999
18,P03351211992,1842,2017-06-02,0,Approved,1311.44,1167.18,144.26
19,P05461222009,2268,2017-04-06,1,Approved,1292.84,13.44,1279.3999999999999
20,P02552222002,3002,2017-01-28,1,Approved,1538.99,829.65,709.34
21,P02721221999,1582,2017-10-09,0,Approved,499.53,388.72,110.80999999999995
22,P03731121999,595,2017-06-29,1,Approved,1793.43,248.82,1544.6100000000001
23,P03731122015,2001,2017-04-08,1,Approved,1793.43,248.82,1544.6100000000001
24,P08252222016,515,2017-10-18,0,Approved,1538.99,829.65,709.34
25,P08964231993,2822,2017-06-11,0,Approved,1362.99,57.74,1305.25
26,P06421232015,2596,2017-01-10,0,Approved,1469.44,596.55,872.8900000000001
27,P06421232012,2666,2017-04-11,1,Approved,1469.44,596.55,872.8900000000001
28,P01923122016,76,2017-12-23,0,Approved,574.64,459.71,114.93
29,P07241222016,3368,2017-10-13,1,Approved,360.4,270.3,90.09999999999997
30,P09161122014,1173,2017-03-15,0,Approved,642.31,513.85,128.45999999999992
31,P08841222002,2810,2017-09-05,1,Approved,1198.46,381.1,817.36
32,P00151222016,3214,2017-02-18,0,Approved,1403.5,954.82,448.67999999999995
33,P02552222016,1272,2017-03-20,0,Approved,1538.99,829.65,709.34
34,P09922112006,2003,2017-02-28,1,Approved,1720.7,1531.42,189.27999999999997
35,P00042222005,2171,2017-08-20,0,Approved,544.05,376.84,167.20999999999998
36,P09261212003,3356,2017-07-07,0,Approved,1415.01,1259.36,155.6500000000001
37,P01411331995,1040,2017-01-09,0,Approved,1842.92,1105.75,737.1700000000001
38,P00211221991,2916,2017-12-06,0,Approved,71.49,53.62,17.869999999999997
39,P01261222005,427,2017-09-12,0,Approved,1231.15,161.6,1069.5500000000002
40,P00042222005,2448,2017-11-28,1,Approved,544.05,376.84,167.20999999999998
41,P04461222003,2570,2017-05-08,1,Approved,1769.64,108.76,1660.88
42,P07914232013,3398,2017-05-14,0,Approved,2083.94,675.03,1408.91
43,P07661122014,488,2017-03-17,0,Cancelled,642.31,513.85,128.45999999999992
44,P04611122003,165,2017-12-22,0,Approved,1289.85,74.51,1215.34
45,P05522232015,2787,2017-06-07,1,Approved,1894.19,598.76,1295.43
46,P06611222016,3053,2017-06-20,0,Approved,1163.89,589.27,574.6200000000001
47,P03521121994,475,2017-05-07,1,Approved,1057.51,154.4,903.11
48,P08111222012,1305,2017-06-10,1,Approved,1151.96,649.49,502.47
49,P08631222004,1251,2017-06-17,0,Approved,235.63,125.07,110.56
50,P03251222002,3103,2017-05-10,0,Approved,642.7,211.37,431.33000000000004
51,P07742232011,3108,2017-03-24,0,Approved,1240.31,795.1,445.2099999999999
52,P09651232007,857,2017-11-27,0,Approved,1635.3,993.66,641.64
53,P00631321991,3455,2017-12-21,1,Approved,227.88,136.73,91.15
54,P02721221994,2549,2017-02-09,1,Approved,499.53,388.72,110.80999999999995
55,P00041122005,3140,2017-09-18,0,Approved,363.01,290.41,72.59999999999997
56,P04722111997,3406,2017-11-14,0,Approved,1720.7,1531.42,189.27999999999997
57,P09451232013,2294,2017-08-30,1,Approved,1635.3,993.66,641.64
58,P09111221999,1031,2017-11-14,0,Approved,100.35,75.26,25.08999999999999
59,P09331322006,993,2017-02-15,1,Approved,1458.17,874.9,583.2700000000001
60,P06051312014,3473,2017-12-18,0,Approved,1977.36,1759.85,217.51
61,P00032331993,1839,2017-02-24,0,Approved,12.01,7.21,4.8
62,P03351211992,1824,2017-12-18,1,Approved,1311.44,1167.18,144.26
63,P03551222016,368,2017-12-17,0,Approved,1403.5,954.82,448.67999999999995
64,P00021222006,2000,2017-07-08,0,Approved,499.53,388.72,110.80999999999995
65,P02841212016,825,2017-05-16,1,Approved,1216.14,1082.36,133.7800000000002
66,P08631221999,3315,2017-02-23,1,Approved,235.63,125.07,110.56
67,P00211222012,75,2017-07-03,1,Approved,71.49,53.62,17.869999999999997
68,P00451322004,1498,2017-09-30,1,Approved,1129.13,677.48,451.6500000000001
69,P03821232012,1612,2017-10-21,1,Approved,2091.47,388.92,1702.5499999999997
70,P02721221999,2192,2017-05-06,1,Approved,499.53,388.72,110.80999999999995
71,P05461222009,419,2017-01-03,0,Approved,1292.84,13.44,1279.3999999999999
72,P07761222011,3307,2017-05-09,1,Approved,1769.64,108.76,1660.88
73,P02261221993,2430,2017-07-23,0,Approved,60.34,45.26,15.080000000000005
74,P05631221997,1506,2017-01-21,1,Approved,183.86,137.9,45.96000000000001
75,P05831222015,1346,2017-06-20,0,Approved,912.52,141.4,771.12
76,P02261221991,927,2017-03-10,0,Approved,60.34,45.26,15.080000000000005
77,P05061212003,763,2017-06-02,0,Approved,175.89,131.92,43.97
78,P08034121998,2397,2017-11-07,0,Approved,1073.07,933.84,139.2299999999999
79,P08751321997,102,2017-09-12,1,Approved,1179.0,707.4,471.6
80,P01541122005,2884,2017-12-16,0,Approved,958.74,748.9,209.84000000000003
81,P08452221992,759,2017-10-07,1,Approved,792.9,594.68,198.22000000000003
82,P02111232011,773,2017-04-27,1,Approved,1071.23,380.74,690.49
83,P00031222003,3398,2017-04-01,1,Approved,235.63,125.07,110.56
84,P03351211992,3297,2017-11-02,1,Approved,1311.44,1167.18,144.26
85,P08422222004,2434,2017-02-13,1,Approved,290.62,215.14,75.48000000000002
86,P00151222004,1861,2017-07-19,0,Approved,1403.5,954.82,448.67999999999995
87,P02721221991,1233,2017-05-23,0,Approved,499.53,388.72,110.80999999999995
88,P03161221993,1390,2017-08-06,0,Approved,752.64,205.36,547.28
89,P00032332010,2682,2017-04-04,1,Approved,12.01,7.21,4.8
90,P06211221993,439,2017-08-15,1,Approved,478.16,298.72,179.44
91,P01711321996,1579,2017-04-15,1,Approved,1024.66,614.8,409.8600000000001
92,P07311222000,2984,2017-07-25,1,Approved,1945.43,333.18,1612.25
